start_date,end_date,firm_title,mode,sample_size,primary_lnc,primary_alp,primary_green,primary_onenation,primary_unitedaustralia,primary_other,primary_undecided,tpp_lnc,tpp_alp,tpp_undecided
2010-06-25,2010-06-28,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.515,0.485,NA
2001-02-03,2001-02-11,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,0.57,NA
2001-05-26,2001-05-27,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,0.57,NA
2001-06-09,2001-06-17,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,0.57,NA
2001-08-18,2001-08-26,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,0.57,NA
2007-02-10,2007-02-18,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,0.57,NA
2007-10-13,2007-10-14,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,0.57,NA
2015-08-01,2015-08-09,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,0.57,NA
2015-09-12,2015-09-13,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,0.57,NA
2007-03-17,2007-03-18,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.415,0.585,NA
2007-08-04,2007-08-12,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.415,0.585,NA
2009-11-21,2009-11-22,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.415,0.585,NA
2009-11-28,2009-11-29,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.415,0.585,NA
2010-01-09,2010-01-17,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.415,0.585,NA
2001-03-17,2001-03-25,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.6,NA
2001-06-02,2001-06-03,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.6,NA
2007-03-24,2007-04-01,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.6,NA
2007-05-05,2007-05-06,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.6,NA
2007-05-19,2007-05-20,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.6,NA
2007-09-01,2007-09-02,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.6,NA
2009-10-03,2009-10-11,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.6,NA
2001-10-13,2001-10-14,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,0.45,NA
2015-09-19,2015-09-20,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,0.45,NA
